SRPM name,Maintained by,built by,added by,import reason,main role
devtoolset-10-binutils,OS Platform,centos,,,main_builddep_dep
docbook-style-dsssl,OS Platform,centos,,,main_builddep_dep
docbook-utils,OS Platform,centos,,,main_builddep_dep
dwz,OS Platform,centos,,,main_builddep_dep
emacs,OS Platform,centos,,,main_builddep_dep
gd,OS Platform,centos,,,main_builddep_dep
gdk-pixbuf2,OS Platform,centos,,,main_builddep_dep
ghostscript,OS Platform,centos,,,main_builddep_dep
ghostscript-fonts,OS Platform,centos,,,main_builddep_dep
graphite2,OS Platform,centos,,,main_builddep_dep
graphviz,OS Platform,centos,,,main_builddep_dep
gtk2,OS Platform,centos,,,main_builddep_dep
gtk3,OS Platform,centos,,,main_builddep_dep
guile,OS Platform,centos,,,main_builddep_dep
harfbuzz,OS Platform,centos,,,main_builddep_dep
hicolor-icon-theme,OS Platform,centos,,,main_builddep_dep
icu,OS Platform,centos,xs,,main_builddep_dep
jasper,OS Platform,centos,,,main_builddep_dep
jbigkit,OS Platform,centos,,,main_builddep_dep
lcms2,OS Platform,centos,,,main_builddep_dep
libICE,OS Platform,centos,,,main_builddep_dep
libSM,OS Platform,centos,,,main_builddep_dep
libX11,OS Platform,centos,,,main_builddep_dep
libXau,OS Platform,centos,,,main_builddep_dep
libXaw,OS Platform,centos,,,main_builddep_dep
libXcomposite,OS Platform,centos,,,main_builddep_dep
libXcursor,OS Platform,centos,,,main_builddep_dep
libXdamage,OS Platform,centos,,,main_builddep_dep
libXext,OS Platform,centos,,,main_builddep_dep
libXfixes,OS Platform,centos,,,main_builddep_dep
libXfont,OS Platform,centos,,,main_builddep_dep
libXft,OS Platform,centos,,,main_builddep_dep
libXi,OS Platform,centos,,,main_builddep_dep
libXinerama,OS Platform,centos,,,main_builddep_dep
libXmu,OS Platform,centos,,,main_builddep_dep
libXpm,OS Platform,centos,,,main_builddep_dep
libXrandr,OS Platform,centos,,,main_builddep_dep
libXrender,OS Platform,centos,,,main_builddep_dep
libXt,OS Platform,centos,,,main_builddep_dep
libXxf86vm,OS Platform,centos,,,main_builddep_dep
libdaemon,OS Platform,centos,,,main_builddep_dep
libfontenc,OS Platform,centos,,,main_builddep_dep
libgnome-keyring,OS Platform,centos,,,main_builddep_dep
libmodman,OS Platform,centos,,,main_builddep_dep
libmpc,OS Platform,centos,,,main_builddep_dep
libproxy,OS Platform,centos,,,main_builddep_dep
librsvg2,OS Platform,centos,,,main_builddep_dep
libthai,OS Platform,centos,,,main_builddep_dep
libtiff,OS Platform,centos,,,main_builddep_dep
libxshmfence,OS Platform,centos,,,main_builddep_dep
linuxconsoletools,OS Platform,centos,,,main_builddep_dep
lynx,OS Platform,centos,,,main_builddep_dep
mercurial,OS Platform,centos,,,main_builddep_dep
mesa,OS Platform,centos,,,main_builddep_dep
mpfr,OS Platform,centos,,,main_builddep_dep
neon,OS Platform,centos,,,main_builddep_dep
openjade,OS Platform,centos,,,main_builddep_dep
opensp,OS Platform,centos,,,main_builddep_dep
pakchois,OS Platform,centos,,,main_builddep_dep
pango,OS Platform,centos,,,main_builddep_dep
perl-Compress-Raw-Bzip2,OS Platform,centos,,,main_builddep_dep
perl-Compress-Raw-Zlib,OS Platform,centos,,,main_builddep_dep
perl-Digest,OS Platform,centos,,,main_builddep_dep
perl-Digest-SHA1,OS Platform,centos,,,main_builddep_dep
perl-Error,OS Platform,centos,,,main_builddep_dep
perl-ExtUtils-Manifest,OS Platform,centos,,,main_builddep_dep
perl-ExtUtils-ParseXS,OS Platform,centos,,,main_builddep_dep
perl-GD,OS Platform,centos,,,main_builddep_dep
perl-Locale-Maketext,OS Platform,centos,,,main_builddep_dep
perl-Module-Load,OS Platform,centos,,,main_builddep_dep
perl-Module-Metadata,OS Platform,centos,,,main_builddep_dep
perl-Params-Check,OS Platform,centos,,,main_builddep_dep
perl-SGMLSpm,OS Platform,centos,,,main_builddep_dep
perl-TermReadKey,OS Platform,centos,,,main_builddep_dep
perl-Text-Unidecode,OS Platform,centos,,,main_builddep_dep
perl-Thread-Queue,OS Platform,centos,,,main_builddep_dep
perl-TimeDate,OS Platform,centos,,,main_builddep_dep
perl-XML-Parser,OS Platform,centos,,,main_builddep_dep
perl-libintl,OS Platform,centos,,,main_builddep_dep
perl-srpm-macros,OS Platform,centos,,,main_builddep_dep
